epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,681.295,1.07489,0.62413,1.12772,0.92036,0.96552,0.95833,0.61921,1.14654,0.58329,1.15077,0.0011684,0.0011684,0.0011684
44,698.244,1.06992,0.62027,1.13537,0.93093,0.92949,0.94423,0.61942,1.14053,0.58962,1.12617,0.0011486,0.0011486,0.0011486
45,714.75,1.01486,0.58993,1.09367,0.89754,0.95402,0.95898,0.62358,1.17139,0.58239,1.15681,0.0011288,0.0011288,0.0011288
46,730.852,1.03872,0.57984,1.09749,0.93153,0.93834,0.95849,0.64291,1.11965,0.53494,1.13906,0.001109,0.001109,0.001109
47,746.157,1.03561,0.58453,1.10986,0.91236,0.97701,0.96953,0.64482,1.1498,0.52103,1.13268,0.0010892,0.0010892,0.0010892
48,764.865,1.01438,0.58591,1.10013,0.88878,0.95402,0.95044,0.64442,1.09185,0.53361,1.1319,0.0010694,0.0010694,0.0010694
49,779.909,1.03596,0.58388,1.12662,0.88243,0.94902,0.96977,0.62752,1.1886,0.56505,1.16598,0.0010496,0.0010496,0.0010496
50,793.959,1.0127,0.57769,1.10953,0.93267,0.91954,0.94269,0.62418,1.13347,0.53332,1.15201,0.0010298,0.0010298,0.0010298
51,809.212,0.99204,0.56943,1.0957,0.92049,0.95402,0.94295,0.62193,1.15172,0.55405,1.13269,0.00101,0.00101,0.00101
52,827.604,1.01473,0.57755,1.1187,0.87519,0.97701,0.95788,0.6428,1.11562,0.53675,1.13286,0.0009902,0.0009902,0.0009902
53,841.259,0.9999,0.57741,1.0998,0.8985,0.96552,0.96113,0.61368,1.18077,0.57416,1.14253,0.0009704,0.0009704,0.0009704
54,858.502,0.99774,0.58263,1.08562,0.93379,0.95402,0.97751,0.65447,1.12857,0.53165,1.14093,0.0009506,0.0009506,0.0009506
55,874.539,0.99175,0.55667,1.08745,0.91157,0.96552,0.96011,0.62236,1.17444,0.5158,1.15256,0.0009308,0.0009308,0.0009308
56,892.898,0.98341,0.54617,1.10288,0.91218,0.95402,0.96982,0.64258,1.14125,0.50932,1.15119,0.000911,0.000911,0.000911
57,906.684,0.98681,0.54282,1.09518,0.8952,0.98851,0.97739,0.64576,1.13301,0.51781,1.14617,0.0008912,0.0008912,0.0008912
58,920.633,0.91822,0.51068,1.05141,0.88995,0.96552,0.9473,0.65163,1.09615,0.50295,1.12746,0.0008714,0.0008714,0.0008714
59,935.616,0.98771,0.54074,1.09392,0.88629,0.98547,0.96313,0.65722,1.08349,0.50548,1.11811,0.0008516,0.0008516,0.0008516
60,952.965,0.92388,0.52351,1.05197,0.92143,0.94253,0.96814,0.66819,1.06562,0.48208,1.10837,0.0008318,0.0008318,0.0008318
61,966.753,0.92701,0.5162,1.07444,0.90151,0.94696,0.96879,0.67379,1.08586,0.50507,1.12567,0.000812,0.000812,0.000812
62,984.465,0.95121,0.51805,1.07747,0.89034,0.96552,0.96624,0.68963,1.04781,0.50196,1.09089,0.0007922,0.0007922,0.0007922
63,999.824,0.91953,0.51402,1.05501,0.91072,0.96552,0.96162,0.67723,1.05249,0.51984,1.09731,0.0007724,0.0007724,0.0007724
64,1018.47,0.91717,0.53135,1.04616,0.9127,0.96133,0.97943,0.68322,1.06251,0.49368,1.10604,0.0007526,0.0007526,0.0007526
65,1032.19,0.92379,0.5126,1.05011,0.9094,0.97701,0.96414,0.68465,1.02812,0.46527,1.09512,0.0007328,0.0007328,0.0007328
66,1046.19,0.91548,0.51298,1.05898,0.89483,0.97795,0.95452,0.66643,1.04025,0.4828,1.09294,0.000713,0.000713,0.000713
67,1061.19,0.9278,0.50734,1.07823,0.90422,0.97656,0.9635,0.67713,1.04553,0.48754,1.10038,0.0006932,0.0006932,0.0006932
68,1078.29,0.87937,0.49453,1.02206,0.92033,0.97701,0.96956,0.65816,1.04754,0.49679,1.09954,0.0006734,0.0006734,0.0006734
69,1092.21,0.86799,0.49208,1.02937,0.89222,0.94253,0.9501,0.68836,1.01621,0.49665,1.08865,0.0006536,0.0006536,0.0006536
70,1109.44,0.88262,0.48902,1.02843,0.91313,0.96653,0.96798,0.69343,1.02475,0.46109,1.09021,0.0006338,0.0006338,0.0006338
71,1123.75,0.88929,0.49661,1.05029,0.88649,0.98744,0.95856,0.67668,1.03914,0.46491,1.09433,0.000614,0.000614,0.000614
72,1140.59,0.8804,0.48845,1.03603,0.91368,0.97338,0.96251,0.69308,0.99657,0.46082,1.07275,0.0005942,0.0005942,0.0005942
73,1154.28,0.85177,0.47596,1.03781,0.89021,0.97701,0.95732,0.68607,1.00213,0.48946,1.07253,0.0005744,0.0005744,0.0005744
74,1168.23,0.85936,0.4817,1.03546,0.88533,0.97701,0.96151,0.70459,0.98669,0.48858,1.0701,0.0005546,0.0005546,0.0005546
75,1182.98,0.858,0.47046,1.02812,0.90838,0.97701,0.95679,0.694,0.99598,0.46626,1.06314,0.0005348,0.0005348,0.0005348
76,1200.58,0.84154,0.46311,1.01774,0.89921,0.97701,0.96059,0.68729,1.01982,0.47664,1.07415,0.000515,0.000515,0.000515
77,1214.55,0.86574,0.48702,1.02465,0.90184,0.97701,0.95655,0.69498,1.01945,0.4415,1.08162,0.0004952,0.0004952,0.0004952
78,1232,0.82781,0.46473,1.0171,0.90955,0.97701,0.95323,0.68411,0.99249,0.45952,1.07153,0.0004754,0.0004754,0.0004754
79,1246.45,0.83097,0.45275,1.0072,0.91325,0.95402,0.94813,0.69756,0.97699,0.46181,1.07703,0.0004556,0.0004556,0.0004556
